Medicine,Manufacturer,Price,ExpiryDate
Ibuprofen,HealthCare,120,6/30/2027
Amoxicillin,MedLife,200,8/15/2027
Cetirizine,AllergyFree,80,5/20/2027
Aspirin,HeartCare,100,9/10/2027
Metformin,DiabetiCare,150,11/25/2027
Omeprazole,StomachCare,180,7/12/2027
Azithromycin,MedLife,220,10/18/2027
Loratadine,AllergyFree,90,6/5/2027
Diclofenac,GetWell,130,8/30/2027
Hydrocortisone,SkinCare,110,9/22/2027
Ranitidine,StomachCare,95,4/14/2027
Salbutamol,RespiraCare,140,12/9/2027
Amoxicillin+Clavulanic,MedLife,250,10/1/2027
Levofloxacin,HealthCare,300,7/28/2027
Amlodipine,HeartCare,160,11/11/2027
Simvastatin,HeartCare,150,8/8/2027
Prednisolone,SkinCare,120,5/27/2027
Metoprolol,HeartCare,170,9/3/2027
Furosemide,HeartCare,130,6/16/2027
Captopril,HeartCare,140,10/24/2027
Clindamycin,MedLife,200,12/15/2027
Diazepam,CalmCare,90,4/30/2027
Fluconazole,MedLife,180,8/19/2027
Hydroxychloroquine,HealthCare,250,11/5/2027
Levothyroxine,ThyroCare,160,7/7/2027
Lisinopril,HeartCare,150,9/29/2027
Tramadol,PainFree,200,10/12/2027
Cefixime,MedLife,210,6/21/2027
Naproxen,GetWell,120,12/20/2027
